BoroCT2020,Neighborhood (name for CP),"Area, m^2","Area, km^2",GeoID
1000100,"The Battery, Governors Island, Ellis Island, Liberty Island",171 351,"0,2",MN0191
1000201,"Chinatown, Two Bridges",90 332,"0,1",MN0301
1000202,Lower East Side,306 484,"0,3",MN0302
1000500,"The Battery, Governors Island, Ellis Island, Liberty Island",718 260,"0,7",MN0191
1000600,"Chinatown, Two Bridges",239 943,"0,2",MN0301
1000700,"Financial District, Battery Park City",206 999,"0,2",MN0101
1000800,"Chinatown, Two Bridges",220 772,"0,2",MN0301
1000900,"Financial District, Battery Park City",245 370,"0,2",MN0101
1001001,Lower East Side,81 448,"0,1",MN0302
1001002,Lower East Side,205 248,"0,2",MN0302
1001200,Lower East Side,120 609,"0,1",MN0302
1001300,"Financial District, Battery Park City",317 064,"0,3",MN0101
1001401,Lower East Side,93 472,"0,1",MN0302
1001402,Lower East Side,113 919,"0,1",MN0302
1001501,"Financial District, Battery Park City",270 631,"0,3",MN0101
1001502,"Financial District, Battery Park City",176 895,"0,2",MN0101
1001600,"Chinatown, Two Bridges",207 484,"0,2",MN0301
1001800,Lower East Side,222 902,"0,2",MN0302
1002000,East Village,127 833,"0,1",MN0303
1002100,"Tribeca, Civic Center",237 840,"0,2",MN0102
1002201,Lower East Side,161 669,"0,2",MN0302
1002202,East Village,56 107,"0,1",MN0303
1002400,East Village,169 541,"0,2",MN0303
1002500,"Chinatown, Two Bridges",130 834,"0,1",MN0301
1002601,East Village,106 024,"0,1",MN0303
1002602,East Village,103 575,"0,1",MN0303
1002700,"Chinatown, Two Bridges",59 195,"0,1",MN0301
1002800,East Village,183 362,"0,2",MN0303
1002901,"Tribeca, Civic Center",147 451,"0,1",MN0102
1002902,"Chinatown, Two Bridges",123 791,"0,1",MN0301
1003001,Lower East Side,123 607,"0,1",MN0302
1003002,East Village,78 141,"0,1",MN0303
1003100,"Tribeca, Civic Center",205 042,"0,2",MN0102
1003200,East Village,216 980,"0,2",MN0303
1003300,"Tribeca, Civic Center",341 675,"0,3",MN0102
1003400,East Village,159 651,"0,2",MN0303
1003601,Lower East Side,100 550,"0,1",MN0302
1003602,East Village,89 287,"0,1",MN0303
1003700,"SoHo, Little Italy, Hudson Square",382 426,"0,4",MN0201
1003800,East Village,202 838,"0,2",MN0303
1003900,"Tribeca, Civic Center",331 760,"0,3",MN0102
1004001,East Village,92 442,"0,1",MN0303
1004002,East Village,86 643,"0,1",MN0303
1004100,"SoHo, Little Italy, Hudson Square",191 253,"0,2",MN0201
1004200,East Village,86 266,"0,1",MN0303
1004300,"SoHo, Little Italy, Hudson Square",149 165,"0,1",MN0201
1004400,"Stuyvesant Town, Peter Cooper Village",401 655,"0,4",MN0601
1004500,"SoHo, Little Italy, Hudson Square",104 937,"0,1",MN0201
1004700,"SoHo, Little Italy, Hudson Square",165 420,"0,2",MN0201
1004800,Gramercy,174 370,"0,2",MN0602
1004900,"SoHo, Little Italy, Hudson Square",206 816,"0,2",MN0201
1005000,Gramercy,166 662,"0,2",MN0602
1005200,"Midtown South, Flatiron, Union Square",168 663,"0,2",MN0501
1005400,"Midtown South, Flatiron, Union Square",168 087,"0,2",MN0501
1005501,Greenwich Village,124 352,"0,1",MN0202
1005502,Greenwich Village,115 481,"0,1",MN0202
1005600,"Midtown South, Flatiron, Union Square",174 497,"0,2",MN0501
1005700,Greenwich Village,107 601,"0,1",MN0202
1005800,"Midtown South, Flatiron, Union Square",174 630,"0,2",MN0501
1005900,Greenwich Village,116 159,"0,1",MN0202
1006000,"Stuyvesant Town, Peter Cooper Village",121 025,"0,1",MN0601
1006100,Greenwich Village,142 004,"0,1",MN0202
1006200,"Murray Hill, Kips Bay",292 023,"0,3",MN0603
1006300,Greenwich Village,178 215,"0,2",MN0202
1006400,Gramercy,178 567,"0,2",MN0602
1006500,Greenwich Village,201 357,"0,2",MN0202
1006600,"Murray Hill, Kips Bay",174 708,"0,2",MN0603
1006700,West Village,168 424,"0,2",MN0203
1006800,Gramercy,174 448,"0,2",MN0602
1006900,West Village,219 496,"0,2",MN0203
1007001,"Murray Hill, Kips Bay",89 887,"0,1",MN0603
1007002,"Murray Hill, Kips Bay",87 440,"0,1",MN0603
1007100,West Village,164 976,"0,2",MN0203
1007200,"Murray Hill, Kips Bay",174 421,"0,2",MN0603
1007300,West Village,165 238,"0,2",MN0203
1007400,"Midtown South, Flatiron, Union Square",174 606,"0,2",MN0501
1007500,West Village,165 211,"0,2",MN0203
1007600,"Midtown South, Flatiron, Union Square",174 057,"0,2",MN0501
1007700,West Village,178 700,"0,2",MN0203
1007800,"Murray Hill, Kips Bay",177 643,"0,2",MN0603
1007900,West Village,273 631,"0,3",MN0203
1008000,"Murray Hill, Kips Bay",172 428,"0,2",MN0603
1008100,"Chelsea, Hudson Yards",174 280,"0,2",MN0401
1008200,"Midtown, Times Square",172 497,"0,2",MN0502
1008300,"Chelsea, Hudson Yards",174 010,"0,2",MN0401
1008400,"Midtown, Times Square",173 056,"0,2",MN0502
1008601,"Murray Hill, Kips Bay",115 053,"0,1",MN0603
1008602,United Nations,101 382,"0,1",MN0661
