BoroCT2020,ScoreBaseSimilarPeopleFamilies,WeightForAggregation
1000201,30,2012
1000202,25,7266
1000600,17,11616
1000700,8,10542
1000800,13,10871
1000900,20,2016
1001001,30,1767
1001002,70,6300
1001200,25,3776
1001300,8,5402
1001401,50,3543
1001402,8,3418
1001501,8,8385
1001502,8,10378
1001600,9,7698
1001800,8,7934
1002000,50,4648
1002100,85,7811
1002201,10,6969
1002202,7,2488
1002400,65,4518
1002500,30,4630
1002601,13,3609
1002602,8,4816
1002700,9,1370
1002800,10,6819
1002901,1,1096
1002902,9,4359
1003001,5,4663
1003002,5,3035
1003100,6,2989
1003200,4,8372
1003300,65,6458
1003400,5,7012
1003601,8,3513
1003602,4,3000
1003700,13,3092
1003800,3,9070
1003900,70,7036
1004001,3,3743
1004002,3,5090
1004100,7,7523
1004200,3,5216
1004300,5,4158
1004400,8,17222
1004500,25,1093
1004700,8,2644
1004800,6,6955
1004900,7,4777
1005000,8,5223
1005200,10,3808
1005400,8,4909
1005501,17,4564
1005502,10,1956
1005600,13,4281
1005700,10,2998
1005800,8,5109
1005900,8,5707
1006000,65,5290
1006100,8,5494
1006200,9,3686
1006300,8,6707
1006400,6,8744
1006500,4,6721
1006600,6,12341
1006700,4,5547
1006800,4,7706
1006900,13,2799
1007001,7,4550
1007002,6,4865
1007100,6,5851
1007200,6,9358
1007300,4,6180
1007400,4,5698
1007500,9,4000
1007600,6,2921
1007700,7,6192
1007800,8,9109
1007900,9,4442
1008000,6,5906
1008100,7,7853
1008200,6,3414
1008300,9,3853
1008400,4,1985
1008601,9,4853
1008603,8,5347
1008700,8,6510
1008800,7,8852
1008900,8,5957
1009000,7,8830
1009100,7,7362
1009200,5,1866
1009300,8,9325
1009400,9,109
1009500,6,3892
1009600,2,608
1009700,8,5071
1009800,7,8078
1009901,13,2093
1009902,8,3848
1009903,7,2380
1010000,6,2170
1010100,9,2596
1010200,8,283
1010300,4,4095
1010400,6,983
1010601,8,8256
1010602,30,5489
1010801,9,3297
1010802,9,3805
1010803,10,2696
1010900,4,407
1011000,10,7671
1011100,4,6138
1011201,6,1233
1011202,7,500
1011203,9,1420
1011300,3,216
1011401,13,1361
1011402,10,2620
1011500,7,3863
1011600,8,3263
1011700,8,5256
1011800,13,9688
1011900,17,1666
1012000,17,3905
1012101,3,3408
1012102,4,5236
1012200,9,3425
1012400,13,10845
1012500,4,2901
1012601,13,7437
1012602,17,6400
1012700,4,7282
1012800,30,6545
1012901,10,7959
1012902,7,3144
1013000,13,3911
1013100,7,3962
1013201,13,3146
1013202,20,4237
1013203,9,3747
1013300,5,6782
1013400,13,11882
1013501,9,5504
1013502,9,6358
1013601,17,1962
1013602,20,5070
1013603,20,4387
1013604,9,5057
1013700,8,7308
1013800,10,13109
1013900,4,9988
1014000,40,8050
1014200,30,4463
1014401,13,5040
1014402,17,7151
1014500,9,7532
1014601,10,4481
1014602,13,9061
1014700,40,2987
1014801,50,3221
1014802,25,7494
1014900,20,6351
1015001,30,2321
1015002,30,5642
1015101,40,3756
1015102,60,8254
1015200,30,7730
1015301,13,3684
1015302,20,6032
1015401,9,5189
1015402,10,4503
1015403,30,5738
1015501,13,5091
1015502,25,5759
1015601,9,5568
1015602,40,2154
1015700,9,11197
1015801,25,5600
1015802,8,4516
1015900,20,10054
1016001,40,3852
1016002,13,3607
1016100,13,6617
1016200,40,9033
1016300,20,7292
1016400,70,7371
1016500,25,6659
1016600,30,7012
1016700,50,7210
1016800,40,4964
1016900,17,8526
1017000,25,7991
1017100,25,9694
1017200,50,5441
1017300,20,8699
1017401,60,5449
1017402,20,2276
1017500,17,11110
1017700,20,9382
1017800,25,3860
1017900,13,9103
1018000,65,7429
1018100,17,8941
1018200,65,7675
1018300,10,8534
1018400,70,7820
1018500,10,5243
1018600,65,5127
1018700,25,9383
1018800,60,5697
1018900,20,11556
1019000,65,3679
1019100,10,9005
1019200,80,3971
1019300,10,8736
1019400,60,6978
1019500,9,7828
1019600,13,4031
1019701,9,1278
1019702,17,2601
1019800,13,2370
1019900,8,9598
1020000,10,2855
1020101,6,1863
1020102,25,4077
1020300,2,3874
1020500,7,5023
1020600,30,3628
1020701,5,3035
1020800,25,5255
1020901,60,3665
1021000,60,6748
1021100,10,10529
1021200,10,4899
1021303,17,5583
1021400,8,3075
1021500,65,3856
1021600,30,8567
1021703,3,545
1021800,25,6530
1021900,75,5696
1022000,50,6114
1022102,20,2382
1022200,25,3293
1022301,17,7258
1022302,13,3101
1022400,75,7346
1022500,25,9895
1022600,30,4890
1022700,17,5387
1022800,25,5961
1022900,17,7975
1023000,40,9111
1023100,17,6273
1023200,75,8061
1023300,13,6368
1023400,50,5112
1023501,25,6720
1023502,50,2206
1023600,30,9907
1023700,17,6792
1023802,25,4791
1023803,8,3625
1023804,30,3306
1023900,25,2675
1024100,13,7612
1024200,90,4448
1024301,25,3993
1024302,90,7237
1024500,20,13385
1024700,13,6521
1024900,13,1084
1025100,17,2287
1025300,17,10081
1025500,8,5697
1025700,50,4270
1025900,65,4029
1026100,30,10733
1026300,17,7969
1026500,13,6850
1026700,20,2083
1026900,20,7848
1027100,20,7623
1027300,17,6519
1027500,20,3063
1027700,25,6423
1027900,25,10019
1028100,50,3108
1028300,20,7740
1028500,30,6794
1028700,20,3772
1029100,40,10509
1029300,40,8035
1029500,20,7039
1029900,40,3598
1030300,17,3691
1030700,17,3427
1030900,65,8594
1031703,90,5847
1031704,50,10422
2000100,0,3772
2000200,70,4779
2000400,65,6272
2001600,65,5795
2001901,80,2292
2001902,40,1613
2001903,0,2
2002001,90,5007
2002002,80,4584
2002300,90,4742
2002500,90,5442
2002701,90,3080
2002702,91,4995
2002800,30,5853
2003100,91,2964
2003300,90,3689
2003500,85,3726
2003700,85,340
2003800,91,1683
2003900,80,6345
2004001,65,1739
2004100,90,6146
2004200,70,7201
2004300,90,5883
2004400,80,4642
2004600,90,1976
2004800,90,4184
2005001,90,4960
2005002,90,6518
2005100,90,6459
2005200,85,2130
2005300,91,4371
2005400,90,6804
2005600,85,2863
2005902,50,2577
2006000,80,1262
2006100,13,3444
2006200,90,6769
2006301,75,6567
2006400,75,4186
2006500,90,6251
2006700,90,6893
2006800,90,3419
2006900,90,6964
2007000,80,5021
2007100,80,2789
2007200,80,6291
2007300,90,4205
2007400,60,3536
2007500,90,6749
2007600,85,5682
2007700,85,1974
2007800,85,7037
2007900,90,6826
2008300,90,6122
2008400,75,2587
2008500,90,5894
2008600,85,4145
2008700,90,5976
2008900,75,3118
2009000,90,3911
2009200,85,6271
2009301,90,5551
2009302,3,512
2009600,70,2946
2009800,65,5903
2011502,91,4396
2011701,90,1554
2011800,17,5324
2011900,85,5703
2012101,85,3319
2012102,90,1616
2012300,90,4766
2012500,90,4139
2012701,75,2184
2012901,90,4923
2013000,40,1198
2013100,90,5390
2013200,50,6652
2013300,85,6064
2013500,85,4001
2013800,50,3060
2014100,90,7344
2014300,90,1898
2014400,85,6046
2014500,90,7055
2014701,91,6361
2014702,91,5081
2014900,80,4723
2015100,90,5957
2015200,60,2593
2015300,80,4258
2015500,70,2891
2015700,90,5542
2015800,40,1442
2015900,85,2481
2016000,40,4003
2016100,80,5243
2016200,50,1908
2016400,40,1221
2016500,80,1097
2016600,65,2625
2016700,91,3373
2016900,90,1586
2017300,90,6395
2017500,90,6988
2017701,90,4754
2017702,85,4979
2017901,90,5124
2017902,90,3447
2018101,85,3299
2018102,80,5510
2018301,30,4423
