BoroCT2020,ScoreBaseSimilarPeopleRetirees,WeightForAggregation
1000201,91,2012
1000202,90,7266
1000600,91,11616
1000700,2,10542
1000800,90,10871
1000900,3,2016
1001001,90,1767
1001002,80,6300
1001200,91,3776
1001300,4,5402
1001401,83,3543
1001402,83,3418
1001501,90,8385
1001502,4,10378
1001600,88,7698
1001800,63,7934
1002000,75,4648
1002100,7,7811
1002201,80,6969
1002202,8,2488
1002400,75,4518
1002500,92,4630
1002601,55,3609
1002602,7,4816
1002700,92,1370
1002800,70,6819
1002901,60,1096
1002902,50,4359
1003001,7,4663
1003002,70,3035
1003100,7,2989
1003200,70,8372
1003300,9,6458
1003400,10,7012
1003601,75,3513
1003602,60,3000
1003700,55,3092
1003800,55,9070
1003900,67,7036
1004001,55,3743
1004002,55,5090
1004100,83,7523
1004200,6,5216
1004300,55,4158
1004400,70,17222
1004500,67,1093
1004700,63,2644
1004800,40,6955
1004900,75,4777
1005000,63,5223
1005200,40,3808
1005400,83,4909
1005501,63,4564
1005502,50,1956
1005600,30,4281
1005700,75,2998
1005800,7,5109
1005900,90,5707
1006000,67,5290
1006100,25,5494
1006200,70,3686
1006300,90,6707
1006400,25,8744
1006500,30,6721
1006600,70,12341
1006700,60,5547
1006800,25,7706
1006900,15,2799
1007001,55,4550
1007002,55,4865
1007100,67,5851
1007200,7,9358
1007300,60,6180
1007400,15,5698
1007500,67,4000
1007600,8,2921
1007700,63,6192
1007800,15,9109
1007900,88,4442
1008000,70,5906
1008100,55,7853
1008200,63,3414
1008300,60,3853
1008400,5,1985
1008601,8,4853
1008603,91,5347
1008700,25,6510
1008800,75,8852
1008900,50,5957
1009000,50,8830
1009100,15,7362
1009200,30,1866
1009300,91,9325
1009400,50,109
1009500,9,3892
1009600,60,608
1009700,92,5071
1009800,90,8078
1009901,50,2093
1009902,50,3848
1009903,55,2380
1010000,20,2170
1010100,4,2596
1010200,20,283
1010300,4,4095
1010400,80,983
1010601,92,8256
1010602,50,5489
1010801,50,3297
1010802,50,3805
1010803,50,2696
1010900,1,407
1011000,63,7671
1011100,9,6138
1011201,90,1233
1011202,55,500
1011203,70,1420
1011300,55,216
1011401,92,1361
1011402,85,2620
1011500,6,3863
1011600,30,3263
1011700,6,5256
1011800,83,9688
1011900,91,1666
1012000,91,3905
1012101,60,3408
1012102,55,5236
1012200,92,3425
1012400,30,10845
1012500,25,2901
1012601,50,7437
1012602,40,6400
1012700,30,7282
1012800,91,6545
1012901,50,7959
1012902,55,3144
1013000,92,3911
1013100,20,3962
1013201,50,3146
1013202,40,4237
1013203,50,3747
1013300,20,6782
1013400,75,11882
1013501,50,5504
1013502,50,6358
1013601,40,1962
1013602,40,5070
1013603,40,4387
1013604,50,5057
1013700,50,7308
1013800,67,13109
1013900,83,9988
1014000,83,8050
1014200,93,4463
1014401,90,5040
1014402,85,7151
1014500,55,7532
1014601,20,4481
1014602,63,9061
1014700,7,2987
1014801,85,3221
1014802,70,7494
1014900,90,6351
1015001,92,2321
1015002,92,5642
1015101,40,3756
1015102,30,8254
1015200,75,7730
1015301,50,3684
1015302,40,6032
1015401,50,5189
1015402,50,4503
1015403,40,5738
1015501,50,5091
1015502,40,5759
1015601,10,5568
1015602,50,2154
1015700,63,11197
1015801,80,5600
1015802,8,4516
1015900,90,10054
1016001,91,3852
1016002,60,3607
1016100,67,6617
1016200,85,9033
1016300,85,7292
1016400,70,7371
1016500,88,6659
1016600,15,7012
1016700,67,7210
1016800,88,4964
1016900,83,8526
1017000,80,7991
1017100,80,9694
1017200,40,5441
1017300,80,8699
1017401,60,5449
1017402,63,2276
1017500,90,11110
1017700,90,9382
1017800,8,3860
1017900,85,9103
1018000,20,7429
1018100,91,8941
1018200,40,7675
1018300,88,8534
1018400,55,7820
1018500,88,5243
1018600,80,5127
1018700,88,9383
1018800,10,5697
1018900,90,11556
1019000,55,3679
1019100,90,9005
1019200,30,3971
1019300,90,8736
1019400,30,6978
1019500,88,7828
1019600,85,4031
1019701,6,1278
1019702,75,2601
1019800,85,2370
1019900,55,9598
1020000,63,2855
1020101,9,1863
1020102,50,4077
1020300,2,3874
1020500,55,5023
1020600,50,3628
1020701,9,3035
1020800,25,5255
1020901,63,3665
1021000,60,6748
1021100,50,10529
1021200,83,4899
1021303,40,5583
1021400,90,3075
1021500,25,3856
1021600,15,8567
1021703,60,545
1021800,15,6530
1021900,55,5696
1022000,10,6114
1022102,50,2382
1022200,25,3293
1022301,55,7258
1022302,80,3101
1022400,40,7346
1022500,75,9895
1022600,50,4890
1022700,40,5387
1022800,60,5961
1022900,63,7975
1023000,25,9111
1023100,20,6273
1023200,20,8061
1023300,25,6368
1023400,30,5112
1023501,30,6720
1023502,9,2206
1023600,20,9907
1023700,67,6792
1023802,91,4791
1023803,50,3625
1023804,40,3306
1023900,67,2675
1024100,90,7612
1024200,20,4448
1024301,70,3993
1024302,55,7237
1024500,50,13385
1024700,63,6521
1024900,67,1084
1025100,80,2287
1025300,70,10081
1025500,60,5697
1025700,40,4270
1025900,9,4029
1026100,63,10733
1026300,60,7969
1026500,83,6850
1026700,8,2083
1026900,75,7848
1027100,67,7623
1027300,67,6519
1027500,91,3063
1027700,91,6423
1027900,67,10019
1028100,85,3108
1028300,80,7740
1028500,70,6794
1028700,60,3772
1029100,50,10509
1029300,70,8035
1029500,75,7039
1029900,91,3598
1030300,75,3691
1030700,80,3427
1030900,80,8594
1031703,6,5847
1031704,30,10422
2000100,60,3772
2000200,83,4779
2000400,40,6272
2001600,63,5795
2001901,25,2292
2001902,40,1613
2001903,0,2
2002001,25,5007
2002002,25,4584
2002300,67,4742
2002500,25,5442
2002701,15,3080
2002702,10,4995
2002800,75,5853
2003100,6,2964
2003300,6,3689
2003500,15,3726
2003700,25,340
2003800,63,1683
2003900,10,6345
2004001,70,1739
2004100,9,6146
2004200,63,7201
2004300,30,5883
2004400,50,4642
2004600,25,1976
2004800,15,4184
2005001,25,4960
2005002,15,6518
2005100,9,6459
2005200,40,2130
2005300,8,4371
2005400,20,6804
2005600,67,2863
2005902,60,2577
2006000,70,1262
2006100,92,3444
2006200,15,6769
2006301,30,6567
2006400,55,4186
2006500,9,6251
2006700,10,6893
2006800,30,3419
2006900,40,6964
2007000,25,5021
2007100,25,2789
2007200,50,6291
2007300,10,4205
2007400,90,3536
2007500,20,6749
2007600,15,5682
2007700,20,1974
2007800,40,7037
2007900,15,6826
2008300,50,6122
2008400,55,2587
2008500,9,5894
2008600,55,4145
2008700,40,5976
2008900,50,3118
2009000,25,3911
2009200,20,6271
2009301,25,5551
2009302,55,512
2009600,83,2946
2009800,67,5903
2011502,25,4396
2011701,25,1554
2011800,63,5324
2011900,20,5703
2012101,10,3319
2012102,8,1616
2012300,40,4766
2012500,20,4139
2012701,30,2184
2012901,40,4923
2013000,60,1198
2013100,10,5390
2013200,85,6652
2013300,55,6064
2013500,30,4001
2013800,75,3060
2014100,9,7344
2014300,10,1898
2014400,40,6046
2014500,25,7055
2014701,8,6361
2014702,25,5081
2014900,30,4723
2015100,10,5957
2015200,55,2593
2015300,25,4258
2015500,40,2891
2015700,10,5542
2015800,67,1442
2015900,40,2481
2016000,80,4003
2016100,50,5243
2016200,88,1908
2016400,90,1221
2016500,6,1097
2016600,50,2625
2016700,5,3373
2016900,40,1586
2017300,40,6395
2017500,60,6988
2017701,50,4754
2017702,30,4979
2017901,10,5124
2017902,40,3447
2018101,10,3299
2018102,15,5510
2018301,88,4423
2018302,15,3686
2018400,60,4329
2018501,25,3076
2018502,25,6442
2018900,9,8360
2019300,25,6020
2019400,55,2022
2019500,25,7509
2019700,9,7213
2019900,25,7909
2020000,8,5235
2020100,30,4345
2020200,50,2789
2020400,55,3129
2020501,30,7859
2020502,67,2462
2020601,30,3277
2020900,20,4823
2021001,60,8946
2021002,50,7855
2021100,8,5822
2021200,50,6596
2021301,50,1264
2021302,15,5830
2021501,20,4078
2021502,25,6360
2021601,30,4701
2021602,50,6237
2021700,8,5006
2021800,40,6610
2021900,20,1176
2022000,10,2511
2022101,7,4001
2022102,15,5457
2022200,8,3968
2022300,30,5063
2022401,20,2787
2022403,55,3275
2022404,10,4489
2022500,9,8141
2022701,15,5669
2022702,20,1634
2022703,15,1699
2022800,50,6336
2022901,9,5766
2022902,15,3401
2023000,9,3001
2023100,60,1464
2023200,60,3000
2023301,9,4577
2023302,8,3574
2023501,25,3570
2023502,83,4417
2023600,9,2204
2023702,10,1179
2023703,8,5086
2023704,8,3970
