BoroCT2020,ScoreBaseSafety,WeightForAggregationSafety
1000201,10,2 012
1000202,44,7 266
1000600,51,11 616
1000700,69,10 542
1000800,54,10 871
1000900,10,2 016
1001001,46,1 767
1001002,43,6 300
1001200,10,3 776
1001300,10,5 402
1001401,68,3 543
1001402,7,3 418
1001501,35,8 385
1001502,61,10 378
1001600,39,7 698
1001800,10,7 934
1002000,34,4 648
1002100,9,7 811
1002201,24,6 969
1002202,29,2 488
1002400,18,4 518
1002500,92,4 630
1002601,9,3 609
1002602,19,4 816
1002700,10,1 370
1002800,27,6 819
1002901,14,1 096
1002902,25,4 359
1003001,9,4 663
1003002,13,3 035
1003100,9,2 989
1003200,30,8 372
1003300,10,6 458
1003400,11,7 012
1003601,19,3 513
1003602,14,3 000
1003700,10,3 092
1003800,11,9 070
1003900,63,7 036
1004001,39,3 743
1004002,69,5 090
1004100,28,7 523
1004200,69,5 216
1004300,17,4 158
1004400,95,17 222
1004500,9,1 093
1004700,8,2 644
1004800,33,6 955
1004900,9,4 777
1005000,25,5 223
1005200,8,3 808
1005400,10,4 909
1005501,37,4 564
1005502,10,1 956
1005600,40,4 281
1005700,10,2 998
1005800,10,5 109
1005900,54,5 707
1006000,92,5 290
1006100,45,5 494
1006200,45,3 686
1006300,47,6 707
1006400,24,8 744
1006500,16,6 721
1006600,20,12 341
1006700,22,5 547
1006800,49,7 706
1006900,28,2 799
1007001,67,4 550
1007002,40,4 865
1007100,9,5 851
1007200,47,9 358
1007300,9,6 180
1007400,19,5 698
1007500,35,4 000
1007600,6,2 921
1007700,47,6 192
1007800,62,9 109
1007900,15,4 442
1008000,45,5 906
1008100,28,7 853
1008200,15,3 414
1008300,10,3 853
1008400,8,1 985
1008601,89,4 853
1008603,94,5 347
1008700,10,6 510
1008800,78,8 852
1008900,25,5 957
1009000,51,8 830
1009100,13,7 362
1009200,6,1 866
1009300,35,9 325
1009400,6,109
1009500,9,3 892
1009600,6,608
1009700,39,5 071
1009800,45,8 078
1009901,9,2 093
1009902,42,3 848
1009903,10,2 380
1010000,8,2 170
1010100,8,2 596
1010200,6,283
1010300,18,4 095
1010400,6,983
1010601,93,8 256
1010602,73,5 489
1010801,69,3 297
1010802,80,3 805
1010803,80,2 696
1010900,6,407
1011000,40,7 671
1011100,8,6 138
1011201,6,1 233
1011202,6,500
1011203,14,1 420
1011300,6,216
1011401,10,1 361
1011402,8,2 620
1011500,7,3 863
1011600,63,3 263
1011700,64,5 256
1011800,76,9 688
1011900,0,1 666
1012000,9,3 905
1012101,7,3 408
1012102,29,5 236
1012200,45,3 425
1012400,91,10 845
1012500,9,2 901
1012601,89,7 437
1012602,79,6 400
1012700,18,7 282
1012800,70,6 545
1012901,10,7 959
1012902,16,3 144
1013000,71,3 911
1013100,15,3 962
1013201,89,3 146
1013202,95,4 237
1013203,83,3 747
1013300,10,6 782
1013400,84,11 882
1013501,45,5 504
1013502,56,6 358
1013601,98,1 962
1013602,95,5 070
1013603,91,4 387
1013604,94,5 057
1013700,18,7 308
1013800,39,13 109
1013900,64,9 988
1014000,69,8 050
1014200,66,4 463
1014401,95,5 040
1014402,73,7 151
1014500,10,7 532
1014601,74,4 481
1014602,80,9 061
1014700,59,2 987
1014801,47,3 221
1014802,15,7 494
1014900,82,6 351
1015001,75,2 321
1015002,92,5 642
1015101,30,3 756
1015102,86,8 254
1015200,73,7 730
1015301,93,3 684
1015302,47,6 032
1015401,82,5 189
1015402,61,4 503
1015403,95,5 738
1015501,91,5 091
1015502,83,5 759
1015601,39,5 568
1015602,10,2 154
1015700,79,11 197
1015801,50,5 600
1015802,55,4 516
1015900,33,10 054
1016001,91,3 852
1016002,88,3 607
1016100,90,6 617
1016200,35,9 033
1016300,48,7 292
1016400,17,7 371
1016500,59,6 659
1016600,10,7 012
1016700,45,7 210
1016800,16,4 964
1016900,66,8 526
1017000,35,7 991
1017100,59,9 694
1017200,9,5 441
1017300,66,8 699
1017401,29,5 449
1017402,35,2 276
1017500,69,11 110
1017700,71,9 382
1017800,9,3 860
1017900,65,9 103
1018000,26,7 429
1018100,47,8 941
1018200,9,7 675
1018300,25,8 534
1018400,29,7 820
1018500,72,5 243
1018600,10,5 127
1018700,64,9 383
1018800,10,5 697
1018900,21,11 556
1019000,10,3 679
1019100,38,9 005
1019200,20,3 971
1019300,71,8 736
1019400,17,6 978
1019500,59,7 828
1019600,6,4 031
1019701,10,1 278
1019702,50,2 601
1019800,9,2 370
1019900,77,9 598
1020000,9,2 855
1020101,94,1 863
1020102,17,4 077
1020300,66,3 874
1020500,83,5 023
1020600,15,3 628
1020701,97,3 035
1020800,26,5 255
1020901,10,3 665
1021000,22,6 748
1021100,39,10 529
1021200,14,4 899
1021303,36,5 583
1021400,10,3 075
1021500,19,3 856
1021600,25,8 567
1021703,10,545
1021800,16,6 530
1021900,9,5 696
1022000,28,6 114
1022102,10,2 382
1022200,5,3 293
1022301,13,7 258
1022302,50,3 101
1022400,26,7 346
1022500,34,9 895
1022600,10,4 890
1022700,44,5 387
1022800,9,5 961
1022900,10,7 975
1023000,33,9 111
1023100,19,6 273
1023200,17,8 061
1023300,27,6 368
1023400,38,5 112
1023501,20,6 720
1023502,12,2 206
1023600,54,9 907
1023700,35,6 792
1023802,98,4 791
1023803,94,3 625
1023804,99,3 306
1023900,41,2 675
1024100,49,7 612
1024200,9,4 448
1024301,20,3 993
1024302,16,7 237
1024500,16,13 385
1024700,34,6 521
1024900,9,1 084
1025100,8,2 287
1025300,18,10 081
1025500,32,5 697
1025700,9,4 270
1025900,10,4 029
1026100,37,10 733
1026300,37,7 969
1026500,10,6 850
1026700,64,2 083
1026900,39,7 848
1027100,11,7 623
