BoroCT2020,ScoreBaseElemSchool,WeightForAggregation
1000201,94,"0,1"
1000202,94,"0,3"
1000600,94,"0,2"
1000700,94,"0,2"
1000800,94,"0,2"
1000900,90,"0,2"
1001001,94,"0,1"
1001002,94,"0,2"
1001200,94,"0,1"
1001300,100,"0,3"
1001401,94,"0,1"
1001402,94,"0,1"
1001501,70,"0,3"
1001502,70,"0,2"
1001600,80,"0,2"
1001800,94,"0,2"
1002000,94,"0,1"
1002100,100,"0,2"
1002201,94,"0,2"
1002202,94,"0,1"
1002400,94,"0,2"
1002500,40,"0,1"
1002601,94,"0,1"
1002602,94,"0,1"
1002700,70,"0,1"
1002800,94,"0,2"
1002901,80,"0,1"
1002902,70,"0,1"
1003001,94,"0,1"
1003002,94,"0,1"
1003100,70,"0,2"
1003200,94,"0,2"
1003300,100,"0,3"
1003400,94,"0,2"
1003601,94,"0,1"
1003602,94,"0,1"
1003700,100,"0,4"
1003800,94,"0,2"
1003900,100,"0,3"
1004001,94,"0,1"
1004002,94,"0,1"
1004100,94,"0,2"
1004200,94,"0,1"
1004300,94,"0,1"
1004400,100,"0,4"
1004500,60,"0,1"
1004700,100,"0,2"
1004800,100,"0,2"
1004900,50,"0,2"
1005000,100,"0,2"
1005200,94,"0,2"
1005400,65,"0,2"
1005501,50,"0,1"
1005502,94,"0,1"
1005600,94,"0,2"
1005700,94,"0,1"
1005800,80,"0,2"
1005900,60,"0,1"
1006000,94,"0,1"
1006100,94,"0,1"
1006200,94,"0,3"
1006300,80,"0,2"
1006400,94,"0,2"
1006500,60,"0,2"
1006600,94,"0,2"
1006700,13,"0,2"
1006800,94,"0,2"
1006900,13,"0,2"
1007001,80,"0,1"
1007002,80,"0,1"
1007100,80,"0,2"
1007200,80,"0,2"
1007300,60,"0,2"
1007400,80,"0,2"
1007500,60,"0,2"
1007600,80,"0,2"
1007700,80,"0,2"
1007800,80,"0,2"
1007900,65,"0,3"
1008000,80,"0,2"
1008100,65,"0,2"
1008200,80,"0,2"
1008300,65,"0,2"
1008400,40,"0,2"
1008601,0,"0,1"
1008603,0,"0,1"
1008700,65,"0,2"
1008800,80,"0,2"
1008900,17,"0,2"
1009000,80,"0,2"
1009100,40,"0,2"
1009200,80,"0,2"
1009300,40,"0,2"
1009400,80,"0,2"
1009500,40,"0,2"
1009600,94,"0,2"
1009700,40,"0,2"
1009800,0,"0,2"
1009901,65,"0,4"
1009902,17,"0,2"
1009903,54,"0,4"
1010000,0,"0,2"
1010100,54,"0,2"
1010200,70,"0,2"
1010300,54,"0,2"
1010400,70,"0,2"
1010601,36,"0,1"
1010602,94,"0,1"
1010801,0,"0,1"
1010802,36,"0,1"
1010803,36,"0,1"
1010900,40,"0,2"
1011000,94,"0,2"
1011100,40,"0,2"
