BoroCT2020,ScoreBaseHighSchools,WeightForAggregation
1000201,90,"0,1"
1000202,90,"0,3"
1000600,90,"0,2"
1000700,100,"0,2"
1000800,90,"0,2"
1000900,100,"0,2"
1001001,90,"0,1"
1001002,100,"0,2"
1001200,90,"0,1"
1001300,90,"0,3"
1001401,90,"0,1"
1001402,90,"0,1"
1001501,100,"0,3"
1001502,100,"0,2"
1001600,90,"0,2"
1001800,90,"0,2"
1002000,100,"0,1"
1002100,90,"0,2"
1002201,100,"0,2"
1002202,100,"0,1"
1002400,100,"0,2"
1002500,90,"0,1"
1002601,90,"0,1"
1002602,90,"0,1"
1002700,90,"0,1"
1002800,90,"0,2"
1002901,90,"0,1"
1002902,90,"0,1"
1003001,100,"0,1"
1003002,100,"0,1"
1003100,90,"0,2"
1003200,90,"0,2"
1003300,90,"0,3"
1003400,90,"0,2"
1003601,100,"0,1"
1003602,100,"0,1"
1003700,100,"0,4"
1003800,90,"0,2"
1003900,90,"0,3"
1004001,90,"0,1"
1004002,90,"0,1"
1004100,90,"0,2"
1004200,90,"0,1"
1004300,100,"0,1"
1004400,100,"0,4"
1004500,90,"0,1"
1004700,90,"0,2"
1004800,90,"0,2"
1004900,100,"0,2"
1005000,90,"0,2"
1005200,90,"0,2"
1005400,90,"0,2"
1005501,100,"0,1"
1005502,100,"0,1"
1005600,90,"0,2"
1005700,90,"0,1"
1005800,90,"0,2"
1005900,90,"0,1"
1006000,90,"0,1"
1006100,90,"0,1"
1006200,100,"0,3"
1006300,90,"0,2"
1006400,90,"0,2"
1006500,100,"0,2"
1006600,90,"0,2"
1006700,90,"0,2"
1006800,90,"0,2"
1006900,100,"0,2"
1007001,90,"0,1"
1007002,90,"0,1"
1007100,90,"0,2"
1007200,90,"0,2"
1007300,90,"0,2"
1007400,90,"0,2"
1007500,90,"0,2"
1007600,90,"0,2"
1007700,90,"0,2"
1007800,90,"0,2"
1007900,90,"0,3"
1008000,90,"0,2"
1008100,90,"0,2"
1008200,90,"0,2"
1008300,90,"0,2"
1008400,90,"0,2"
1008601,90,"0,1"
1008603,90,"0,1"
1008700,90,"0,2"
1008800,90,"0,2"
1008900,90,"0,2"
1009000,90,"0,2"
1009100,90,"0,2"
1009200,90,"0,2"
1009300,90,"0,2"
1009400,90,"0,2"
1009500,90,"0,2"
1009600,90,"0,2"
1009700,90,"0,2"
1009800,90,"0,2"
1009901,90,"0,4"
1009902,90,"0,2"
1009903,90,"0,4"
1010000,90,"0,2"
1010100,90,"0,2"
1010200,90,"0,2"
1010300,90,"0,2"
1010400,90,"0,2"
1010601,90,"0,1"
1010602,90,"0,1"
1010801,90,"0,1"
1010802,90,"0,1"
1010803,90,"0,1"
1010900,90,"0,2"
1011000,90,"0,2"
1011100,90,"0,2"
1011201,90,"0,1"
1011202,90,"0,1"
1011203,90,"0,1"
1011300,90,"0,2"
1011401,90,"0,1"
1011402,90,"0,1"
1011500,90,"0,2"
1011600,90,"0,2"
1011700,90,"0,2"
1011800,90,"0,2"
1011900,90,"0,2"
1012000,90,"0,2"
1012101,90,"0,1"
1012102,90,"0,1"
1012200,90,"0,2"
1012400,90,"0,2"
1012500,90,"0,2"
1012601,90,"0,1"
1012602,90,"0,1"
1012700,90,"0,2"
1012800,90,"0,2"
1012901,90,"0,2"
1012902,90,"0,2"
1013000,90,"0,2"
1013100,90,"0,2"
1013201,90,"0,1"
1013202,90,"0,1"
1013203,90,"0,1"
1013300,90,"0,2"
