BoroCT2020,ScoreBaseMidSchool,WeightForAggregation
1000201,94,"0,1"
1000202,94,"0,3"
1000600,94,"0,2"
1000700,94,"0,2"
1000800,94,"0,2"
1000900,94,"0,2"
1001001,94,"0,1"
1001002,94,"0,2"
1001200,94,"0,1"
1001300,90,"0,3"
1001401,94,"0,1"
1001402,94,"0,1"
1001501,94,"0,3"
1001502,80,"0,2"
1001600,94,"0,2"
1001800,94,"0,2"
1002000,94,"0,1"
1002100,90,"0,2"
1002201,94,"0,2"
1002202,94,"0,1"
1002400,94,"0,2"
1002500,94,"0,1"
1002601,94,"0,1"
1002602,94,"0,1"
1002700,20,"0,1"
1002800,94,"0,2"
1002901,70,"0,1"
1002902,20,"0,1"
1003001,94,"0,1"
1003002,94,"0,1"
1003100,94,"0,2"
1003200,94,"0,2"
1003300,90,"0,3"
1003400,94,"0,2"
1003601,94,"0,1"
1003602,100,"0,1"
1003700,90,"0,4"
1003800,100,"0,2"
1003900,90,"0,3"
1004001,94,"0,1"
1004002,94,"0,1"
1004100,94,"0,2"
1004200,100,"0,1"
1004300,100,"0,1"
1004400,94,"0,4"
1004500,94,"0,1"
1004700,94,"0,2"
1004800,94,"0,2"
1004900,94,"0,2"
1005000,94,"0,2"
1005200,94,"0,2"
1005400,94,"0,2"
1005501,90,"0,1"
1005502,100,"0,1"
1005600,94,"0,2"
1005700,100,"0,1"
1005800,94,"0,2"
1005900,90,"0,1"
1006000,80,"0,1"
1006100,100,"0,1"
1006200,80,"0,3"
1006300,94,"0,2"
1006400,80,"0,2"
1006500,90,"0,2"
1006600,80,"0,2"
1006700,90,"0,2"
1006800,80,"0,2"
1006900,90,"0,2"
1007001,80,"0,1"
1007002,80,"0,1"
1007100,94,"0,2"
1007200,80,"0,2"
1007300,90,"0,2"
1007400,80,"0,2"
1007500,90,"0,2"
1007600,80,"0,2"
1007700,94,"0,2"
1007800,80,"0,2"
1007900,90,"0,3"
1008000,80,"0,2"
1008100,94,"0,2"
1008200,80,"0,2"
1008300,90,"0,2"
1008400,80,"0,2"
1008601,80,"0,1"
1008603,80,"0,1"
1008700,94,"0,2"
1008800,80,"0,2"
1008900,90,"0,2"
1009000,80,"0,2"
1009100,90,"0,2"
1009200,80,"0,2"
1009300,90,"0,2"
1009400,80,"0,2"
1009500,17,"0,2"
1009600,80,"0,2"
1009700,17,"0,2"
1009800,80,"0,2"
1009901,90,"0,4"
1009902,17,"0,2"
1009903,17,"0,4"
1010000,80,"0,2"
1010100,17,"0,2"
1010200,80,"0,2"
1010300,17,"0,2"
1010400,80,"0,2"
1010601,80,"0,1"
1010602,80,"0,1"
1010801,80,"0,1"
1010802,80,"0,1"
1010803,80,"0,1"
1010900,17,"0,2"
1011000,80,"0,2"
1011100,17,"0,2"
