BoroCT2020,ScoreBaseSimilarPeopleYoungAdults,WeightForAggregation
1000201,23,2012
1000202,83,7266
1000600,91,11616
1000700,96,10542
1000800,86,10871
1000900,50,2016
1001001,7,1767
1001002,63,6300
1001200,40,3776
1001300,91,5402
1001401,20,3543
1001402,63,3418
1001501,87,8385
1001502,95,10378
1001600,91,7698
1001800,91,7934
1002000,50,4648
1002100,91,7811
1002201,91,6969
1002202,67,2488
1002400,40,4518
1002500,67,4630
1002601,67,3609
1002602,89,4816
1002700,5,1370
1002800,90,6819
1002901,63,1096
1002902,50,4359
1003001,91,4663
1003002,67,3035
1003100,60,2989
1003200,94,8372
1003300,78,6458
1003400,93,7012
1003601,60,3513
1003602,80,3000
1003700,40,3092
1003800,96,9070
1003900,90,7036
1004001,63,3743
1004002,63,5090
1004100,93,7523
1004200,84,5216
1004300,87,4158
1004400,100,17222
1004500,5,1093
1004700,45,2644
1004800,90,6955
1004900,86,4777
1005000,87,5223
1005200,50,3808
1005400,81,4909
1005501,81,4564
1005502,27,1956
1005600,87,4281
1005700,67,2998
1005800,91,5109
1005900,70,5707
1006000,86,5290
1006100,70,5494
1006200,75,3686
1006300,87,6707
1006400,94,8744
1006500,93,6721
1006600,96,12341
1006700,92,5547
1006800,93,7706
1006900,45,2799
1007001,60,4550
1007002,60,4865
1007100,89,5851
1007200,94,9358
1007300,91,6180
1007400,90,5698
1007500,70,4000
1007600,63,2921
1007700,91,6192
1007800,97,9109
1007900,73,4442
1008000,84,5906
1008100,93,7853
1008200,63,3414
1008300,83,3853
1008400,60,1985
1008601,80,4853
1008603,40,5347
1008700,92,6510
1008800,91,8852
1008900,78,5957
1009000,93,8830
1009100,92,7362
1009200,27,1866
1009300,91,9325
1009400,50,109
1009500,45,3892
1009600,63,608
1009700,40,5071
1009800,91,8078
1009901,50,2093
1009902,60,3848
1009903,60,2380
1010000,45,2170
1010100,30,2596
1010200,0,283
1010300,50,4095
1010400,5,983
1010601,67,8256
1010602,86,5489
1010801,50,3297
1010802,50,3805
1010803,50,2696
1010900,2,407
1011000,93,7671
1011100,91,6138
1011201,5,1233
1011202,60,500
1011203,8,1420
1011300,63,216
1011401,3,1361
1011402,10,2620
1011500,84,3863
1011600,81,3263
1011700,90,5256
1011800,92,9688
1011900,3,1666
1012000,23,3905
1012101,63,3408
1012102,60,5236
1012200,7,3425
1012400,94,10845
1012500,60,2901
1012601,50,7437
1012602,50,6400
1012700,92,7282
1012800,30,6545
1012901,50,7959
1012902,60,3144
1013000,15,3911
1013100,70,3962
1013201,50,3146
1013202,50,4237
1013203,50,3747
1013300,92,6782
1013400,93,11882
1013501,50,5504
1013502,50,6358
1013601,50,1962
1013602,50,5070
1013603,50,4387
1013604,50,5057
1013700,90,7308
1013800,97,13109
1013900,94,9988
1014000,89,8050
1014200,40,4463
1014401,63,5040
1014402,90,7151
1014500,87,7532
1014601,91,4481
1014602,91,9061
1014700,84,2987
