BoroCT2020,ScoreBaseGroceries,WeightForAggregationGroceries
1000201,92,"0,1"
1000202,91,"0,3"
1000600,92,"0,2"
1000700,63,"0,2"
1000800,92,"0,2"
1000900,46,"0,2"
1001001,90,"0,1"
1001002,91,"0,2"
1001200,89,"0,1"
1001300,59,"0,3"
1001401,93,"0,1"
1001402,94,"0,1"
1001501,83,"0,3"
1001502,73,"0,2"
1001600,95,"0,2"
1001800,95,"0,2"
1002000,90,"0,1"
1002100,68,"0,2"
1002201,91,"0,2"
1002202,92,"0,1"
1002400,91,"0,2"
1002500,92,"0,1"
1002601,91,"0,1"
1002602,90,"0,1"
1002700,94,"0,1"
1002800,84,"0,2"
1002901,93,"0,1"
1002902,94,"0,1"
1003001,95,"0,1"
1003002,95,"0,1"
1003100,91,"0,2"
1003200,94,"0,2"
1003300,90,"0,3"
1003400,92,"0,2"
1003601,99,"0,1"
1003602,98,"0,1"
1003700,77,"0,4"
1003800,98,"0,2"
1003900,66,"0,3"
1004001,96,"0,1"
1004002,99,"0,1"
1004100,96,"0,2"
1004200,99,"0,1"
1004300,96,"0,1"
1004400,91,"0,4"
1004500,94,"0,1"
1004700,93,"0,2"
1004800,96,"0,2"
1004900,93,"0,2"
1005000,98,"0,2"
1005200,98,"0,2"
1005400,96,"0,2"
1005501,96,"0,1"
1005502,98,"0,1"
1005600,97,"0,2"
1005700,100,"0,1"
1005800,96,"0,2"
1005900,100,"0,1"
1006000,91,"0,1"
1006100,99,"0,1"
1006200,91,"0,3"
1006300,96,"0,2"
1006400,94,"0,2"
1006500,94,"0,2"
1006600,93,"0,2"
1006700,90,"0,2"
1006800,95,"0,2"
1006900,53,"0,2"
1007001,92,"0,1"
1007002,95,"0,1"
1007100,93,"0,2"
1007200,93,"0,2"
1007300,82,"0,2"
1007400,95,"0,2"
1007500,43,"0,2"
1007600,95,"0,2"
1007700,82,"0,2"
1007800,92,"0,2"
1007900,38,"0,3"
1008000,91,"0,2"
1008100,92,"0,2"
1008200,93,"0,2"
1008300,68,"0,2"
1008400,94,"0,2"
1008601,82,"0,1"
1008603,67,"0,1"
1008700,92,"0,2"
1008800,91,"0,2"
1008900,73,"0,2"
1009000,91,"0,2"
1009100,93,"0,2"
1009200,90,"0,2"
1009300,84,"0,2"
1009400,91,"0,2"
1009500,92,"0,2"
1009600,92,"0,2"
1009700,84,"0,2"
1009800,90,"0,2"
1009901,22,"0,4"
1009902,35,"0,2"
1009903,18,"0,4"
1010000,87,"0,2"
1010100,92,"0,2"
1010200,82,"0,2"
1010300,86,"0,2"
1010400,91,"0,2"
1010601,56,"0,1"
1010602,65,"0,1"
1010801,87,"0,1"
1010802,90,"0,1"
1010803,90,"0,1"
1010900,92,"0,2"
1011000,90,"0,2"
1011100,88,"0,2"
1011201,90,"0,1"
1011202,78,"0,1"
1011203,80,"0,1"
1011300,92,"0,2"
1011401,76,"0,1"
1011402,85,"0,1"
1011500,83,"0,2"
1011600,76,"0,2"
1011700,33,"0,2"
1011800,91,"0,2"
1011900,91,"0,2"
1012000,83,"0,2"
1012101,90,"0,1"
1012102,83,"0,1"
1012200,73,"0,2"
1012400,70,"0,2"
1012500,91,"0,2"
1012601,92,"0,1"
1012602,93,"0,1"
1012700,90,"0,2"
1012800,87,"0,2"
1012901,44,"0,2"
1012902,50,"0,2"
1013000,81,"0,2"
1013100,90,"0,2"
1013201,77,"0,1"
1013202,66,"0,1"
1013203,85,"0,1"
1013300,85,"0,2"
1013400,91,"0,2"
1013501,54,"0,2"
1013502,43,"0,2"
1013601,80,"0,0"
1013602,72,"0,1"
1013603,90,"0,1"
1013604,79,"0,1"
1013700,87,"0,2"
1013800,92,"0,2"
1013900,77,"0,2"
1014000,80,"0,2"
1014200,68,"0,2"
1014401,79,"0,1"
1014402,68,"0,2"
1014500,82,"0,2"
1014601,92,"0,1"
1014602,92,"0,1"
1014700,67,"0,1"
1014801,90,"0,1"
1014802,90,"0,1"
1014900,84,"0,2"
1015001,84,"0,1"
1015002,76,"0,1"
1015101,73,"0,1"
1015102,32,"0,2"
1015200,73,"0,2"
1015301,79,"0,1"
1015302,91,"0,1"
1015401,92,"0,1"
1015402,91,"0,1"
1015403,93,"0,1"
1015501,81,"0,1"
1015502,37,"0,1"
1015601,92,"0,1"
1015602,91,"0,1"
1015700,80,"0,2"
1015801,91,"0,1"
1015802,91,"0,1"
1015900,64,"0,2"
1016001,87,"0,1"
1016002,90,"0,1"
1016100,73,"0,2"
1016200,61,"0,3"
1016300,59,"0,3"
1016400,90,"0,2"
1016500,79,"0,2"
1016600,91,"0,2"
1016700,70,"0,2"
1016800,90,"0,2"
1016900,86,"0,2"
1017000,72,"0,2"
1017100,70,"0,2"
1017200,86,"0,2"
1017300,81,"0,2"
1017401,92,"0,1"
1017402,92,"0,1"
1017500,70,"0,2"
1017700,87,"0,2"
1017800,43,"0,2"
1017900,71,"0,2"
1018000,68,"0,2"
1018100,91,"0,1"
1018200,72,"0,2"
1018300,71,"0,2"
1018400,82,"0,2"
1018500,88,"0,1"
1018600,91,"0,1"
1018700,72,"0,2"
1018800,61,"0,1"
1018900,88,"0,3"
1019000,90,"0,1"
1019100,74,"0,2"
1019200,54,"0,2"
1019300,90,"0,2"
1019400,57,"0,2"
1019500,74,"0,2"
1019600,64,"0,2"
1019701,90,"0,2"
1019702,91,"0,0"
1019800,79,"0,2"
1019900,76,"0,2"
1020000,89,"0,1"
1020101,89,"0,1"
1020102,90,"0,1"
1020300,90,"0,2"
1020500,49,"0,3"
1020600,72,"0,1"
1020701,85,"0,0"
1020800,83,"0,1"
1020901,91,"0,1"
1021000,66,"0,2"
1021100,65,"0,3"
1021200,69,"0,2"
1021303,90,"0,2"
1021400,64,"0,1"
1021500,91,"0,1"
1021600,91,"0,2"
1021703,81,"0,3"
1021800,91,"0,2"
1021900,72,"0,3"
1022000,91,"0,2"
1022102,90,"0,1"
1022200,90,"0,2"
1022301,64,"0,2"
1022302,62,"0,1"
1022400,88,"0,2"
1022500,54,"0,3"
1022600,79,"0,2"
1022700,76,"0,2"
1022800,82,"0,2"
1022900,63,"0,2"
1023000,73,"0,2"
1023100,77,"0,2"
1023200,65,"0,2"
1023300,63,"0,2"
1023400,70,"0,1"
1023501,72,"0,2"
1023502,72,"0,0"
1023600,58,"0,3"
1023700,63,"0,3"
1023802,89,"0,2"
1023803,91,"0,1"
1023804,90,"0,2"
1023900,73,"0,1"
1024100,76,"0,2"
1024200,65,"0,3"
1024301,74,"0,1"
1024302,66,"0,2"
1024500,65,"0,2"
1024700,53,"0,3"
1024900,66,"0,1"
1025100,72,"0,2"
1025300,65,"0,2"
1025500,27,"0,4"
1025700,89,"0,1"
1025900,72,"0,1"
1026100,59,"0,2"
1026300,79,"0,2"
1026500,62,"0,2"
1026700,73,"0,0"
1026900,55,"0,2"
1027100,78,"0,2"
1027300,44,"0,2"
1027500,24,"0,3"
1027700,62,"0,2"
1027900,66,"0,2"
1028100,58,"0,1"
1028300,77,"0,2"
1028500,64,"0,1"
1028700,17,"0,5"
1029100,57,"0,2"
1029300,49,"0,2"
1029500,28,"0,1"
1029900,37,"0,6"
1030300,43,"0,2"
1030700,45,"0,1"
1030900,36,"0,3"
1031703,23,"0,2"
1031704,45,"0,2"
2000100,0,"1,7"
2000200,2,"0,5"
2000400,3,"0,8"
2001600,10,"0,5"
2001901,52,"0,2"
2001902,32,"0,5"
2001903,21,"0,9"
2002001,13,"0,2"
2002002,23,"0,2"
2002300,61,"0,1"
2002500,50,"0,1"
2002701,36,"0,1"
2002702,28,"0,2"
2002800,23,"0,4"
2003100,26,"0,2"
2003300,23,"0,2"
2003500,50,"0,1"
2003700,49,"0,2"
2003800,38,"0,1"
2003900,54,"0,2"
2004001,30,"0,1"
2004100,52,"0,2"
2004200,21,"0,5"
2004300,55,"0,2"
2004400,29,"0,3"
2004600,28,"0,1"
2004800,36,"0,1"
2005001,35,"0,1"
2005002,34,"0,1"
2005100,64,"0,5"
2005200,29,"0,2"
2005300,74,"0,1"
2005400,33,"0,2"
2005600,45,"0,1"
2005902,72,"0,1"
2006000,40,"0,3"
2006100,65,"0,2"
2006200,52,"0,2"
2006301,64,"0,8"
2006400,40,"0,2"
2006500,62,"0,3"
2006700,68,"0,2"
2006800,37,"0,2"
2006900,68,"0,2"
2007000,53,"0,2"
2007100,70,"0,3"
2007200,43,"0,2"
2007300,57,"0,1"
2007400,13,"0,2"
2007500,68,"0,2"
2007600,53,"0,2"
2007700,62,"0,1"
2007800,23,"0,3"
2007900,58,"0,2"
2008300,35,"0,2"
2008400,12,"0,2"
2008500,41,"0,2"
2008600,13,"0,2"
2008700,40,"0,2"
2008900,39,"0,1"
2009000,3,"1,1"
2009200,39,"0,3"
2009301,22,"0,6"
2009302,7,"1,8"
2009600,26,"0,7"
2009800,10,"0,5"
2011502,35,"0,3"
2011701,14,"0,2"
2011800,2,"1,0"
2011900,41,"0,2"
2012101,46,"0,1"
2012102,42,"0,1"
2012300,36,"0,3"
2012500,53,"0,2"
2012701,60,"0,1"
2012901,50,"0,2"
2013000,20,"0,1"
2013100,56,"0,2"
2013200,3,"0,6"
2013300,65,"0,2"
2013500,66,"0,2"
2013800,4,"0,8"
2014100,68,"0,2"
2014300,81,"0,1"
2014400,7,"0,4"
2014500,70,"0,2"
2014701,66,"0,1"
2014702,72,"0,1"
2014900,60,"0,2"
2015100,51,"0,2"
2015200,12,"0,3"
2015300,51,"0,2"
2015500,52,"0,1"
2015700,34,"0,3"
2015800,24,"0,2"
2015900,43,"0,1"
2016000,14,"0,5"
2016100,35,"0,2"
2016200,22,"0,2"
2016400,20,"0,2"
2016500,47,"0,2"
2016600,13,"0,3"
2016700,60,"0,2"
2016900,67,"0,1"
2017300,77,"0,2"
2017500,73,"0,2"
2017701,81,"0,1"
2017702,75,"0,1"
2017901,81,"0,1"
2017902,76,"0,1"
2018101,83,"0,1"
2018102,74,"0,1"
2018301,72,"0,1"
2018302,74,"0,1"
2018400,25,"0,4"
2018501,73,"0,2"
2018502,70,"0,2"
2018900,69,"0,4"
2019300,74,"0,2"
2019400,27,"0,8"
2019500,64,"0,2"
2019700,67,"0,1"
2019900,86,"0,2"
2020000,54,"0,3"
2020100,82,"0,3"
2020200,59,"0,1"
2020400,60,"0,1"
2020501,74,"0,3"
2020502,82,"0,1"
2020601,50,"0,2"
2020900,71,"0,1"
2021001,70,"0,2"
2021002,63,"0,2"
2021100,66,"0,2"
2021200,79,"0,1"
2021301,74,"0,1"
2021302,73,"0,2"
2021501,67,"0,1"
2021502,63,"0,2"
2021601,48,"0,2"
2021602,57,"0,2"
2021700,52,"0,2"
2021800,50,"0,3"
2021900,73,"0,1"
2022000,36,"0,2"
2022101,80,"0,1"
2022102,69,"0,1"
2022200,62,"0,2"
2022300,65,"0,1"
2022401,44,"0,1"
2022403,37,"0,1"
2022404,32,"0,1"
2022500,67,"0,2"
2022701,66,"0,1"
2022702,76,"0,0"
2022703,80,"0,0"
2022800,38,"0,2"
2022901,59,"0,1"
2022902,65,"0,1"
2023000,35,"0,2"
2023100,60,"0,1"
2023200,36,"0,1"
2023301,65,"0,1"
2023302,59,"0,1"
2023501,62,"0,1"
2023502,61,"0,1"
2023600,48,"0,1"
2023702,66,"0,0"
2023703,58,"0,1"
2023704,58,"0,1"
2023800,51,"0,3"
2023900,55,"0,2"
2024000,40,"0,2"
2024100,60,"0,1"
2024300,51,"0,1"
2024400,47,"0,2"
2024501,53,"0,1"
2024502,59,"0,1"
2024600,39,"0,2"
2024700,68,"0,1"
2024800,30,"0,3"
2024900,61,"0,2"
2025000,32,"0,2"
2025100,51,"0,2"
2025200,47,"0,2"
2025300,59,"0,1"
2025400,30,"0,2"
2025500,52,"0,2"
2025600,47,"0,2"
2025700,58,"0,2"
2026100,57,"0,2"
2026300,55,"0,2"
2026400,20,"0,4"
2026500,53,"0,2"
2026601,21,"0,2"
2026602,34,"0,3"
2026701,62,"0,1"
2026702,53,"0,2"
2026900,49,"0,4"
2027300,47,"0,2"
2027401,19,"0,7"
2027402,6,"0,5"
2027700,41,"0,2"
2027900,30,"0,3"
2028100,32,"0,1"
2028300,35,"0,2"
2028400,35,"1,1"
2028500,31,"0,3"
2028600,43,"0,2"
2028700,32,"0,2"
2028800,31,"0,3"
2028900,38,"0,2"
2029301,6,"0,2"
2029302,16,"0,4"
2029500,28,"0,2"
2029600,24,"0,7"
2029700,18,"0,2"
2030000,22,"0,4"
2030100,13,"0,1"
2030201,14,"0,2"
2030202,11,"0,3"
2030701,11,"0,4"
2030900,2,"1,3"
2031000,25,"0,6"
2031200,41,"0,2"
2031400,16,"0,2"
2031600,28,"0,2"
2031800,20,"0,2"
2031900,12,"0,2"
2032300,6,"0,6"
2032400,31,"0,3"
2032600,26,"0,3"
2032800,40,"0,2"
2033000,39,"0,2"
2033201,54,"0,1"
2033202,40,"0,1"
2033500,46,"0,1"
2033601,29,"0,1"
2033602,44,"0,1"
2033700,13,"0,4"
2033801,30,"0,1"
2033802,50,"0,0"
2034000,24,"0,2"
2034200,26,"0,2"
2034300,17,"0,1"
2034400,21,"0,2"
2034500,14,"0,3"
2034800,22,"0,4"
2035000,18,"0,2"
2035100,22,"0,6"
2035600,16,"0,4"
2035800,27,"0,7"
2035900,31,"0,1"
2036000,25,"0,3"
2036100,37,"0,2"
2036300,31,"0,2"
2036400,28,"0,2"
2036501,52,"0,1"
2036502,41,"0,1"
2036700,49,"0,1"
2036800,29,"0,2"
2036901,51,"0,1"
2036902,54,"0,1"
2037000,19,"0,2"
2037100,40,"0,2"
2037200,37,"0,2"
2037300,40,"0,2"
2037400,36,"0,2"
2037504,50,"0,2"
2037600,31,"0,1"
2037800,50,"0,1"
2037900,46,"0,2"
2038000,39,"0,2"
2038100,63,"0,2"
2038200,27,"0,2"
2038301,53,"0,1"
2038303,55,"0,1"
2038304,59,"0,1"
2038500,49,"0,2"
2038600,32,"0,4"
2038700,37,"0,2"
2038800,39,"0,1"
2038900,52,"0,2"
2039000,40,"0,2"
2039100,48,"0,2"
2039200,45,"0,1"
2039300,37,"0,2"
2039400,30,"0,1"
2039500,50,"0,4"
2039600,29,"0,2"
2039700,44,"0,5"
2039800,41,"0,2"
2039901,64,"0,2"
2039902,61,"0,1"
2040100,51,"0,2"
2040302,62,"0,1"
2040303,57,"0,1"
2040304,52,"0,1"
2040400,37,"0,2"
2040501,59,"0,1"
2040502,58,"0,1"
2040600,33,"0,2"
2040701,63,"0,1"
2040702,52,"0,2"
2040800,21,"0,1"
2040900,43,"1,2"
2041100,53,"0,1"
2041300,50,"0,2"
2041400,9,"0,6"
2041500,60,"0,1"
2041800,22,"0,3"
2041900,44,"0,3"
2042000,30,"0,2"
2042100,31,"0,2"
2042200,39,"0,2"
2042300,38,"0,2"
2042400,33,"0,2"
2042500,42,"0,3"
2042600,27,"0,5"
2042800,22,"0,2"
2042901,40,"0,1"
2042902,55,"0,1"
2043000,33,"0,2"
2043101,35,"0,1"
2043102,40,"0,1"
2043400,30,"0,3"
2043501,29,"0,4"
2043600,28,"0,2"
2044200,17,"0,2"
2044400,14,"0,4"
2044800,26,"0,2"
2044901,5,"0,2"
2044902,5,"0,2"
2045101,13,"0,2"
2045102,7,"0,2"
